mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.684903860092163,0.16735315411296653,0.0702667236328125,0.02794513512105863,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9211111111111111,0.9281944444444444,0.9177777777777778,0.9231944444444444,0.9238888888888889,0.9228333333333334,0.0034208420737922235,16,0.9345833333333333,0.9324305555555555,0.9347222222222222,0.9346527777777778,0.9348263888888889,0.9342430555555555,0.0009098017352868049
5.500905847549438,0.28589331731858325,0.09095163345336914,0.0029725643443985193,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9213888888888889,0.9286111111111112,0.9177777777777778,0.9238888888888889,0.9247222222222222,0.9232777777777779,0.0035978388574871545,12,0.9349305555555556,0.9324652777777778,0.9338194444444444,0.9344791666666666,0.9347916666666667,0.9340972222222221,0.0009014413184546781
2.7220733642578123,0.1980909998858038,0.04502749443054199,0.0005429686324657383,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9208333333333333,0.9293055555555556,0.9186111111111112,0.9240277777777778,0.92375,0.9233055555555556,0.003601911358167889,10,0.9340625,0.9320486111111111,0.9339583333333333,0.9328472222222223,0.9341319444444445,0.9334097222222223,0.0008267681202679144
5.2927381038665775,0.14324133019791724,0.09122934341430664,0.0023839095079558783,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.92125,0.9298611111111111,0.9180555555555555,0.9245833333333333,0.9243055555555556,0.923611111111111,0.003922474024023098,9,0.9340972222222222,0.9331597222222222,0.9343055555555555,0.9344097222222222,0.934375,0.9340694444444445,0.0004676040519314443
2.649565601348877,0.10801178998887402,0.04744000434875488,0.004947644305269798,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9206944444444445,0.9291666666666667,0.9176388888888889,0.9236111111111112,0.9233333333333333,0.9228888888888889,0.0038080891809248105,15,0.9334375,0.9315277777777777,0.9332638888888889,0.9333680555555556,0.9332291666666667,0.9329652777777777,0.0007225560126094449
5.718271732330322,0.5042803414847654,0.11585092544555664,0.040360826357350214,10,sqrt,2,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9204166666666667,0.9294444444444444,0.9175,0.9240277777777778,0.9243055555555556,0.9231388888888888,0.0040278735620794676,13,0.9330555555555555,0.9322916666666666,0.9330902777777778,0.9334722222222223,0.9336805555555555,0.9331180555555555,0.0004752760731185837
3.118631887435913,0.4272059197822913,0.060757684707641604,0.017706262266051615,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9213888888888889,0.9288888888888889,0.9179166666666667,0.9233333333333333,0.9234722222222222,0.923,0.003562276633673285,14,0.9332291666666667,0.9323263888888889,0.9328819444444445,0.9322222222222222,0.9332638888888889,0.9327847222222221,0.0004388757030368263
5.532625293731689,0.3699892516005326,0.10857505798339843,0.02991228175348817,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9209722222222222,0.9295833333333333,0.9177777777777778,0.9240277777777778,0.9241666666666667,0.9233055555555556,0.003915977086655362,10,0.9336805555555555,0.9321527777777778,0.933125,0.9333333333333333,0.9329861111111111,0.9330555555555555,0.0005084168116033935
4.049280309677124,0.24246968377303266,0.07567963600158692,0.009732941206699005,20,sqrt,1,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9259722222222222,0.9318055555555556,0.9226388888888889,0.9277777777777778,0.9248611111111111,0.9266111111111112,0.003085209639314403,3,0.9942361111111111,0.995,0.9946180555555556,0.9939930555555555,0.9952430555555556,0.9946180555555555,0.00046325222444885516
7.476689720153809,0.30180086891531555,0.1539595127105713,0.016356658162235044,20,sqrt,1,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9259722222222222,0.93375,0.9227777777777778,0.9280555555555555,0.9255555555555556,0.9272222222222222,0.003671503543727664,1,0.9949305555555555,0.9954861111111111,0.9946875,0.9946875,0.9955555555555555,0.9950694444444445,0.0003797284198470154
3.7228670597076414,0.16355592224186777,0.0762556552886963,0.01485801031574215,20,sqrt,1,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9252777777777778,0.9327777777777778,0.9209722222222222,0.9261111111111111,0.9279166666666666,0.9266111111111112,0.003835546864931593,3,0.9851041666666667,0.9854513888888888,0.9844791666666667,0.9842361111111111,0.9848263888888888,0.9848194444444444,0.00043278990141340127
7.459744882583618,0.15464902693311766,0.14407944679260254,0.0035163017625474704,20,sqrt,1,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9254166666666667,0.9331944444444444,0.9211111111111111,0.9272222222222222,0.9268055555555555,0.92675,0.0038815406766761255,2,0.9857638888888889,0.9864236111111111,0.9848958333333333,0.9841319444444444,0.9850694444444444,0.9852569444444444,0.0007809335778966315
3.641097402572632,0.11743633384532423,0.0925076961517334,0.03813280082301071,20,sqrt,2,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9238888888888889,0.9327777777777778,0.9219444444444445,0.9269444444444445,0.9247222222222222,0.9260555555555555,0.003724294613798763,7,0.9826041666666666,0.9828125,0.9827430555555555,0.9817708333333334,0.9826041666666666,0.9825069444444445,0.00037679611017359815
7.300064039230347,0.22619770517120436,0.15805301666259766,0.03701807119605649,20,sqrt,2,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9238888888888889,0.9315277777777777,0.9216666666666666,0.9284722222222223,0.9255555555555556,0.9262222222222223,0.003459866906738709,6,0.9830555555555556,0.9832638888888889,0.9821527777777778,0.9819444444444444,0.9823611111111111,0.9825555555555555,0.0005148264720236572
3.6059335231781007,0.14690439294995775,0.07224025726318359,0.004353478191221894,20,sqrt,2,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9233333333333333,0.9323611111111111,0.9208333333333333,0.9276388888888889,0.9238888888888889,0.925611111111111,0.004016363135911171,8,0.9795833333333334,0.9805555555555555,0.9797916666666666,0.9787847222222222,0.9794444444444445,0.9796319444444445,0.0005716421007571084
7.309233808517456,0.4320598373690309,0.1412226676940918,0.010392502513467256,20,sqrt,2,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9243055555555556,0.9320833333333334,0.9206944444444445,0.92875,0.9258333333333333,0.9263333333333333,0.003874576838702815,5,0.9798263888888888,0.9800347222222222,0.9799305555555555,0.9787847222222222,0.98,0.9797152777777777,0.00047068786674527865
